family,scope,count,mean,min,p10,p25,p50,p75,p90,p95,max
x_mark,positive,11,0.58264,0.49567,0.50282,0.53372,0.6117,0.63675,0.64764,0.64816,0.64869
x_mark,family_negative,126,0.48319,0.2034,0.36111,0.42543,0.47515,0.55732,0.59943,0.65525,0.7261
x_mark,none_of_the_above,88,0.46512,0.2034,0.33682,0.3941,0.47154,0.53443,0.59535,0.59535,0.62711
play_triangle,positive,1,0.51421,0.51421,0.51421,0.51421,0.51421,0.51421,0.51421,0.51421,0.51421
play_triangle,family_negative,136,0.32586,0.10472,0.20521,0.27593,0.32084,0.39023,0.43913,0.44272,0.51245
play_triangle,none_of_the_above,88,0.32438,0.10472,0.20313,0.2835,0.31857,0.39444,0.43913,0.43913,0.45808
google_play,positive,3,0.29745,0.28673,0.28754,0.28875,0.29077,0.30281,0.31004,0.31245,0.31485
google_play,family_negative,134,0.30035,0.06,0.16885,0.21289,0.31329,0.37156,0.45203,0.45602,0.48598
google_play,none_of_the_above,88,0.28624,0.06,0.13668,0.19234,0.28173,0.3679,0.45203,0.45203,0.4713
next,positive,2,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349
next,family_negative,135,0.27545,0.09987,0.15633,0.19712,0.28373,0.32317,0.40597,0.42231,0.4845
next,none_of_the_above,88,0.27385,0.09987,0.14832,0.19599,0.2969,0.32317,0.41087,0.42231,0.42231
free,positive,9,0.52166,0.51486,0.52098,0.52251,0.52251,0.52251,0.52251,0.52251,0.52251
free,family_negative,128,0.37262,0.13997,0.28826,0.31741,0.38363,0.43604,0.47258,0.47588,0.54887
free,none_of_the_above,88,0.37048,0.13997,0.28934,0.315,0.39127,0.43604,0.47357,0.47588,0.54887
got,positive,14,0.48432,0.31759,0.39182,0.45501,0.50314,0.52609,0.5426,0.56972,0.61804
got,family_negative,123,0.25713,0.08262,0.13288,0.19708,0.26163,0.30207,0.3916,0.41722,0.41722
got,none_of_the_above,88,0.25743,0.08262,0.14762,0.19594,0.27094,0.28131,0.40736,0.41722,0.41722
arrow,positive,11,0.54156,0.37194,0.38112,0.5338,0.57624,0.59287,0.60962,0.61129,0.61297
arrow,family_negative,126,0.32082,0.14878,0.19375,0.24536,0.3184,0.3892,0.45297,0.50481,0.63224
arrow,none_of_the_above,88,0.31989,0.14878,0.17081,0.26179,0.3184,0.3892,0.43721,0.45297,0.45297
