family,scope,count,mean,min,p10,p25,p50,p75,p90,p95,max
x_mark,positive,11,0.43454,0.25078,0.25704,0.28932,0.43833,0.52735,0.58654,0.61921,0.65187
x_mark,family_negative,126,0.20354,0.00716,0.03083,0.08409,0.1605,0.29245,0.48282,0.48282,0.71278
x_mark,none_of_the_above,88,0.20298,0.00716,0.02195,0.05547,0.18521,0.26758,0.48282,0.48282,0.65539
play_triangle,positive,1,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943
play_triangle,family_negative,136,0.08999,0.00081,0.00732,0.01155,0.03489,0.16507,0.2375,0.29395,0.32215
play_triangle,none_of_the_above,88,0.10716,0.00449,0.01048,0.02144,0.05492,0.22696,0.29395,0.29395,0.32215
google_play,positive,3,0.53296,0.39207,0.43399,0.49687,0.60166,0.60341,0.60446,0.60481,0.60516
google_play,family_negative,134,0.12648,0.00281,0.0109,0.03056,0.09374,0.15133,0.28663,0.41075,0.53219
google_play,none_of_the_above,88,0.14459,0.008,0.01131,0.03036,0.09937,0.20915,0.28777,0.49401,0.53219
next,positive,2,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533
next,family_negative,135,0.16881,0.00248,0.0167,0.05719,0.13244,0.21938,0.32573,0.40906,0.84249
next,none_of_the_above,88,0.13198,0.00248,0.00518,0.03602,0.12671,0.209,0.32144,0.32573,0.32573
free,positive,9,0.93301,0.93208,0.93208,0.93208,0.93208,0.93208,0.93376,0.93711,0.94046
free,family_negative,128,0.21418,0.00626,0.04281,0.08123,0.1511,0.37216,0.46245,0.53297,0.70697
free,none_of_the_above,88,0.22038,0.00626,0.04864,0.09058,0.1511,0.39337,0.47832,0.53297,0.53297
got,positive,14,0.46628,0.32017,0.34455,0.41176,0.47208,0.53699,0.55837,0.5708,0.59228
got,family_negative,123,0.11629,0.0037,0.01641,0.02721,0.0961,0.13296,0.28505,0.45814,0.45814
got,none_of_the_above,88,0.11862,0.0037,0.01217,0.02721,0.09264,0.12312,0.28151,0.45814,0.45814
arrow,positive,11,0.68374,0.21353,0.37439,0.6249,0.76105,0.83265,0.84076,0.89328,0.9458
arrow,family_negative,126,0.18161,0.00183,0.00937,0.06756,0.11958,0.21944,0.40801,0.62517,0.91491
arrow,none_of_the_above,88,0.16138,0.00183,0.00853,0.05647,0.1193,0.17752,0.43604,0.62517,0.62517
